book,vote,vote_title,row_type,head_code,head_title,approved_estimates_2025_2026,gross_expenditure_2026_2027,appropriations_in_aid_2026_2027,net_expenditure_2026_2027,projected_estimates_2027_2028,projected_estimates_2028_2029,page,verified
fy-2026-27-development-book-volume-iii-1104-2111,1331,State Department for Environment & Climate Change,head,1331100500,Purchase of digital instrument,30000000,152000000,0,152000000,0,0,971,yes
fy-2026-27-development-book-volume-iii-1104-2111,1331,State Department for Environment & Climate Change,head,1331100600,High Performance Computing Platform,20000000,0,0,0,0,0,971,yes
fy-2026-27-development-book-volume-iii-1104-2111,1331,State Department for Environment & Climate Change,head,1331100700,Acquisition of CAT 3 Airport Weather Observing System-AWOS- Phase III,70000000,0,0,0,0,0,971,yes
fy-2026-27-development-book-volume-iii-1104-2111,1331,State Department for Environment & Climate Change,head,1331100800,Acquisition of CAT 3 Automatic Weather Stations (AWS) - Phase IV,15000000,20000000,0,20000000,0,0,971,yes
fy-2026-27-development-book-volume-iii-1104-2111,1331,State Department for Environment & Climate Change,head,1331100900,Weather Radar Surveillance Network,94000000,112000000,0,112000000,0,0,971,yes
fy-2026-27-development-book-volume-iii-1104-2111,1331,State Department for Environment & Climate Change,head,1331101000,Construction of Centres of excellence and innovation on environment,8500000,8500000,0,8500000,50000000,122000000,971,yes
fy-2026-27-development-book-volume-iii-1104-2111,1331,State Department for Environment & Climate Change,head,1331101300,National Solid Waste Management,20000000,2470000000,0,2470000000,120000000,190000000,971,yes
fy-2026-27-development-book-volume-iii-1104-2111,1331,State Department for Environment & Climate Change,head,1331101600,Community Livelihood Improvement Programme (CLIP),10000000,30000000,0,30000000,100000000,120000000,971,yes
fy-2026-27-development-book-volume-iii-1104-2111,1331,State Department for Environment & Climate Change,head,1331101700,Plastic Waste Management and Pollution Control 2574,15000000,70000000,0,70000000,100000000,200000000,971,yes
fy-2026-27-development-book-volume-iii-1104-2111,1331,State Department for Environment & Climate Change,head,1331102000,Sound Chemicals and Waste Management Kenya,12000000,10000000,0,10000000,0,0,972,yes
fy-2026-27-development-book-volume-iii-1104-2111,1331,State Department for Environment & Climate Change,head,1331102200,Implementation of National Climate Change Action Plan,35000000,150000000,0,150000000,200000000,350000000,972,yes
fy-2026-27-development-book-volume-iii-1104-2111,1331,State Department for Environment & Climate Change,head,1331102600,Africa Environmental Health and Pollution Management Project,173000000,0,0,0,0,0,972,yes
fy-2026-27-development-book-volume-iii-1104-2111,1331,State Department for Environment & Climate Change,head,1331102700,Strengthening Drought Resilience for Farmers & Pastoralists In IGAD,132000000,59000000,0,59000000,59000000,0,972,yes
fy-2026-27-development-book-volume-iii-1104-2111,1331,State Department for Environment & Climate Change,head,1331102800,Strategic Sector Support Phase II,10000000,0,0,0,0,0,972,yes
fy-2026-27-development-book-volume-iii-1104-2111,1331,State Department for Environment & Climate Change,head,1331102900,L Victoria Climate Resilience & Environmental Mngmt Prj(LVCREMP),10000000,85000000,0,85000000,280000000,450000000,972,yes
