book,vote,vote_title,programme_code,programme_title,prog_level,section,row_type,econ_code,econ_title,baseline_estimates_2025_2026,estimates_2026_2027,projected_estimates_2027_2028,projected_estimates_2028_2029,page,verified
fy-2026-27-program-based-1011-2151,1109,State Department for Water & Sanitation,1109,State Department for Water & Sanitation,vote,current,current_total,,Current Expenditure,8496042945,8524625447,8719289927,9288289927,560,yes
fy-2026-27-program-based-1011-2151,1109,State Department for Water & Sanitation,1109,State Department for Water & Sanitation,vote,capital,capital_total,,Capital Expenditure,49537575232,47955645997,59117000000,88271000000,560,yes
fy-2026-27-program-based-1011-2151,1109,State Department for Water & Sanitation,1109,State Department for Water & Sanitation,vote,total,total,,Total Expenditure,58033618177,56480271444,67836289927,97559289927,560,yes
fy-2026-27-program-based-1011-2151,1112,State Department for Lands and Physical Planning,1112,State Department for Lands and Physical Planning,vote,current,econ,2100000,Compensation to Employees,3186665468,3335600000,3430000000,3527400000,573,yes
fy-2026-27-program-based-1011-2151,1112,State Department for Lands and Physical Planning,1112,State Department for Lands and Physical Planning,vote,current,econ,2200000,Use of Goods and Services,2291278880,2286350000,2319450000,2353590000,573,yes
fy-2026-27-program-based-1011-2151,1112,State Department for Lands and Physical Planning,1112,State Department for Lands and Physical Planning,vote,current,econ,2600000,Current Transfers to Govt. Agencies,10000000,17500000,24000000,30500000,573,yes
fy-2026-27-program-based-1011-2151,1112,State Department for Lands and Physical Planning,1112,State Department for Lands and Physical Planning,vote,current,econ,3100000,Non Financial Assets,119030000,98050000,98050000,98050000,573,yes
fy-2026-27-program-based-1011-2151,1112,State Department for Lands and Physical Planning,1112,State Department for Lands and Physical Planning,vote,capital,econ,2100000,Compensation to Employees,0,50000000,0,0,573,yes
fy-2026-27-program-based-1011-2151,1112,State Department for Lands and Physical Planning,1112,State Department for Lands and Physical Planning,vote,capital,econ,2200000,Use of Goods and Services,216483000,889000000,176500000,212500000,573,yes
fy-2026-27-program-based-1011-2151,1112,State Department for Lands and Physical Planning,1112,State Department for Lands and Physical Planning,vote,capital,econ,2600000,Capital Transfers to Govt. Agencies,7130607000,8500000000,3500000000,3500000000,573,yes
fy-2026-27-program-based-1011-2151,1112,State Department for Lands and Physical Planning,1112,State Department for Lands and Physical Planning,vote,capital,econ,3100000,Non Financial Assets,354500000,701000000,607409086,420141465,573,yes
fy-2026-27-program-based-1011-2151,1112,State Department for Lands and Physical Planning,1112,State Department for Lands and Physical Planning,vote,current,current_total,,Current Expenditure,5606974348,5737500000,5871500000,6009540000,573,yes
fy-2026-27-program-based-1011-2151,1112,State Department for Lands and Physical Planning,1112,State Department for Lands and Physical Planning,vote,capital,capital_total,,Capital Expenditure,7701590000,10140000000,4283909086,4132641465,573,yes
fy-2026-27-program-based-1011-2151,1112,State Department for Lands and Physical Planning,1112,State Department for Lands and Physical Planning,vote,total,total,,Total Expenditure,13308564348,15877500000,10155409086,10142181465,573,yes
fy-2026-27-program-based-1011-2151,1122,State Department for Information Communication Technology & Digital Economy,1122,State Department for Information Communication Technology & Digital Economy,vote,current,econ,2100000,Compensation to Employees,490338136,542000000,558000000,575000000,587,yes
fy-2026-27-program-based-1011-2151,1122,State Department for Information Communication Technology & Digital Economy,1122,State Department for Information Communication Technology & Digital Economy,vote,current,econ,2200000,Use of Goods and Services,322007133,292621944,380440754,518934597,587,yes
